# Assembly name:  ASM1834038v1
# Organism name:  Cyprinus carpio (common carp)
# Isolate:  SPL01
# Taxid:          7962
# BioSample:      SAMN17005855
# BioProject:     PRJNA682709
# Submitter:      Chinese Academy of Fishery Sciences
# Date:           2021-05-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAEOAB01
# Assembly method: wtdbg v. 2; quickmerge v. 1
# Expected final version: Yes
# Genome coverage: 184.8x
# Sequencing technology: PacBio; Oxford Nanopore; Illumina HiSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_018340385.1
# RefSeq assembly accession: GCF_018340385.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018340415.1	GCF_018340415.1	Primary Assembly
## GCA_018340445.1	GCF_000029015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
S000004026	unplaced-scaffold	na	na	JAEOAB010004014.1	=	NW_024876712.1	Primary Assembly	1111	na
S000004027	unplaced-scaffold	na	na	JAEOAB010004015.1	=	NW_024876713.1	Primary Assembly	1885	na
S000004028	unplaced-scaffold	na	na	JAEOAB010004016.1	=	NW_024876714.1	Primary Assembly	1550	na
S000004029	unplaced-scaffold	na	na	JAEOAB010004017.1	=	NW_024876715.1	Primary Assembly	1730	na
S000004030	unplaced-scaffold	na	na	JAEOAB010004018.1	=	NW_024876716.1	Primary Assembly	1744	na
S000004031	unplaced-scaffold	na	na	JAEOAB010004019.1	=	NW_024876717.1	Primary Assembly	1461	na
S000004032	unplaced-scaffold	na	na	JAEOAB010004020.1	=	NW_024876718.1	Primary Assembly	1787	na
S000004033	unplaced-scaffold	na	na	JAEOAB010004021.1	=	NW_024876719.1	Primary Assembly	1916	na
S000004034	unplaced-scaffold	na	na	JAEOAB010004022.1	=	NW_024876720.1	Primary Assembly	1615	na
S000004035	unplaced-scaffold	na	na	JAEOAB010004023.1	=	NW_024876721.1	Primary Assembly	1762	na
S000004036	unplaced-scaffold	na	na	JAEOAB010004024.1	=	NW_024876722.1	Primary Assembly	1816	na
S000004037	unplaced-scaffold	na	na	JAEOAB010004025.1	=	NW_024876723.1	Primary Assembly	2009	na
S000004038	unplaced-scaffold	na	na	JAEOAB010004026.1	=	NW_024876724.1	Primary Assembly	1820	na
S000004039	unplaced-scaffold	na	na	JAEOAB010004027.1	=	NW_024876725.1	Primary Assembly	1852	na
S000004040	unplaced-scaffold	na	na	JAEOAB010004028.1	=	NW_024876726.1	Primary Assembly	1483	na
S000004041	unplaced-scaffold	na	na	JAEOAB010004029.1	=	NW_024876727.1	Primary Assembly	1941	na
S000004042	unplaced-scaffold	na	na	JAEOAB010004030.1	=	NW_024876728.1	Primary Assembly	1736	na
S000004043	unplaced-scaffold	na	na	JAEOAB010004031.1	=	NW_024876729.1	Primary Assembly	1804	na
S000004044	unplaced-scaffold	na	na	JAEOAB010004032.1	=	NW_024876730.1	Primary Assembly	1811	na
S000004045	unplaced-scaffold	na	na	JAEOAB010004033.1	=	NW_024876731.1	Primary Assembly	2443	na
S000004046	unplaced-scaffold	na	na	JAEOAB010004034.1	=	NW_024876732.1	Primary Assembly	1644	na
S000004047	unplaced-scaffold	na	na	JAEOAB010004035.1	=	NW_024876733.1	Primary Assembly	1983	na
S000004048	unplaced-scaffold	na	na	JAEOAB010004036.1	=	NW_024876734.1	Primary Assembly	1217	na
S000004049	unplaced-scaffold	na	na	JAEOAB010004037.1	=	NW_024876735.1	Primary Assembly	5662	na
S000004050	unplaced-scaffold	na	na	JAEOAB010004038.1	=	NW_024876736.1	Primary Assembly	780	na
S000004051	unplaced-scaffold	na	na	JAEOAB010004039.1	=	NW_024876737.1	Primary Assembly	1660	na
S000004052	unplaced-scaffold	na	na	JAEOAB010004040.1	=	NW_024876738.1	Primary Assembly	554	na
S000004053	unplaced-scaffold	na	na	JAEOAB010004041.1	=	NW_024876739.1	Primary Assembly	4125	na
S000004054	unplaced-scaffold	na	na	JAEOAB010004042.1	=	NW_024876740.1	Primary Assembly	1661	na
S000004055	unplaced-scaffold	na	na	JAEOAB010004043.1	=	NW_024876741.1	Primary Assembly	2118	na
S000004056	unplaced-scaffold	na	na	JAEOAB010004044.1	=	NW_024876742.1	Primary Assembly	2156	na
S000004057	unplaced-scaffold	na	na	JAEOAB010004045.1	=	NW_024876743.1	Primary Assembly	1688	na
S000004058	unplaced-scaffold	na	na	JAEOAB010004046.1	=	NW_024876744.1	Primary Assembly	1734	na
S000004059	unplaced-scaffold	na	na	JAEOAB010004047.1	=	NW_024876745.1	Primary Assembly	1934	na
S000004060	unplaced-scaffold	na	na	JAEOAB010004048.1	=	NW_024876746.1	Primary Assembly	1319	na
S000004061	unplaced-scaffold	na	na	JAEOAB010004049.1	=	NW_024876747.1	Primary Assembly	1732	na
S000004062	unplaced-scaffold	na	na	JAEOAB010004050.1	=	NW_024876748.1	Primary Assembly	1916	na
S000004063	unplaced-scaffold	na	na	JAEOAB010004051.1	=	NW_024876749.1	Primary Assembly	1983	na
S000004064	unplaced-scaffold	na	na	JAEOAB010004052.1	=	NW_024876750.1	Primary Assembly	733	na
S000004065	unplaced-scaffold	na	na	JAEOAB010004053.1	=	NW_024876751.1	Primary Assembly	1765	na
S000004066	unplaced-scaffold	na	na	JAEOAB010004054.1	=	NW_024876752.1	Primary Assembly	1538	na
S000004067	unplaced-scaffold	na	na	JAEOAB010004055.1	=	NW_024876753.1	Primary Assembly	1255	na
S000004068	unplaced-scaffold	na	na	JAEOAB010004056.1	=	NW_024876754.1	Primary Assembly	1843	na
S000004069	unplaced-scaffold	na	na	JAEOAB010004057.1	=	NW_024876755.1	Primary Assembly	1921	na
S000004070	unplaced-scaffold	na	na	JAEOAB010004058.1	=	NW_024876756.1	Primary Assembly	1163	na
S000004071	unplaced-scaffold	na	na	JAEOAB010004059.1	=	NW_024876757.1	Primary Assembly	1817	na
S000004072	unplaced-scaffold	na	na	JAEOAB010004060.1	=	NW_024876758.1	Primary Assembly	1557	na
S000004073	unplaced-scaffold	na	na	JAEOAB010004061.1	=	NW_024876759.1	Primary Assembly	1814	na
S000004074	unplaced-scaffold	na	na	JAEOAB010004062.1	=	NW_024876760.1	Primary Assembly	1688	na
S000004075	unplaced-scaffold	na	na	JAEOAB010004063.1	=	NW_024876761.1	Primary Assembly	1768	na
S000004076	unplaced-scaffold	na	na	JAEOAB010004064.1	=	NW_024876762.1	Primary Assembly	1781	na
S000004077	unplaced-scaffold	na	na	JAEOAB010004065.1	=	NW_024876763.1	Primary Assembly	1786	na
S000004078	unplaced-scaffold	na	na	JAEOAB010004066.1	=	NW_024876764.1	Primary Assembly	1686	na
S000004079	unplaced-scaffold	na	na	JAEOAB010004067.1	=	NW_024876765.1	Primary Assembly	2302	na
S000004080	unplaced-scaffold	na	na	JAEOAB010004068.1	=	NW_024876766.1	Primary Assembly	1712	na
S000004081	unplaced-scaffold	na	na	JAEOAB010004069.1	=	NW_024876767.1	Primary Assembly	1834	na
S000004082	unplaced-scaffold	na	na	JAEOAB010004070.1	=	NW_024876768.1	Primary Assembly	2117	na
S000004083	unplaced-scaffold	na	na	JAEOAB010004071.1	=	NW_024876769.1	Primary Assembly	3096	na
S000004084	unplaced-scaffold	na	na	JAEOAB010004072.1	=	NW_024876770.1	Primary Assembly	1567	na
S000004085	unplaced-scaffold	na	na	JAEOAB010004073.1	=	NW_024876771.1	Primary Assembly	1590	na
S000004086	unplaced-scaffold	na	na	JAEOAB010004074.1	=	NW_024876772.1	Primary Assembly	1707	na
S000004087	unplaced-scaffold	na	na	JAEOAB010004075.1	=	NW_024876773.1	Primary Assembly	1821	na
S000004088	unplaced-scaffold	na	na	JAEOAB010004076.1	=	NW_024876774.1	Primary Assembly	1780	na
S000004089	unplaced-scaffold	na	na	JAEOAB010004077.1	=	NW_024876775.1	Primary Assembly	1404	na
S000004090	unplaced-scaffold	na	na	JAEOAB010004078.1	=	NW_024876776.1	Primary Assembly	1937	na
S000004091	unplaced-scaffold	na	na	JAEOAB010004079.1	=	NW_024876777.1	Primary Assembly	1090	na
S000004092	unplaced-scaffold	na	na	JAEOAB010004080.1	=	NW_024876778.1	Primary Assembly	2005	na
S000004093	unplaced-scaffold	na	na	JAEOAB010004081.1	=	NW_024876779.1	Primary Assembly	1061	na
S000004094	unplaced-scaffold	na	na	JAEOAB010004082.1	=	NW_024876780.1	Primary Assembly	1872	na
S000004095	unplaced-scaffold	na	na	JAEOAB010004083.1	=	NW_024876781.1	Primary Assembly	1561	na
S000004096	unplaced-scaffold	na	na	JAEOAB010004084.1	=	NW_024876782.1	Primary Assembly	2059	na
S000004097	unplaced-scaffold	na	na	JAEOAB010004085.1	=	NW_024876783.1	Primary Assembly	1859	na
S000004098	unplaced-scaffold	na	na	JAEOAB010004086.1	=	NW_024876784.1	Primary Assembly	2070	na
S000004099	unplaced-scaffold	na	na	JAEOAB010004087.1	=	NW_024876785.1	Primary Assembly	1861	na
S000004100	unplaced-scaffold	na	na	JAEOAB010004088.1	=	NW_024876786.1	Primary Assembly	1335	na
S000004101	unplaced-scaffold	na	na	JAEOAB010004089.1	=	NW_024876787.1	Primary Assembly	1868	na
S000004102	unplaced-scaffold	na	na	JAEOAB010004090.1	=	NW_024876788.1	Primary Assembly	880	na
S000004103	unplaced-scaffold	na	na	JAEOAB010004091.1	=	NW_024876789.1	Primary Assembly	1810	na
S000004104	unplaced-scaffold	na	na	JAEOAB010004092.1	=	NW_024876790.1	Primary Assembly	1664	na
S000004105	unplaced-scaffold	na	na	JAEOAB010004093.1	=	NW_024876791.1	Primary Assembly	1834	na
S000004106	unplaced-scaffold	na	na	JAEOAB010004094.1	=	NW_024876792.1	Primary Assembly	2200	na
S000004107	unplaced-scaffold	na	na	JAEOAB010004095.1	=	NW_024876793.1	Primary Assembly	1016	na
S000004108	unplaced-scaffold	na	na	JAEOAB010004096.1	=	NW_024876794.1	Primary Assembly	1717	na
S000004109	unplaced-scaffold	na	na	JAEOAB010004097.1	=	NW_024876795.1	Primary Assembly	1929	na
S000004110	unplaced-scaffold	na	na	JAEOAB010004098.1	=	NW_024876796.1	Primary Assembly	1479	na
S000004111	unplaced-scaffold	na	na	JAEOAB010004099.1	=	NW_024876797.1	Primary Assembly	2211	na
S000004112	unplaced-scaffold	na	na	JAEOAB010004100.1	=	NW_024876798.1	Primary Assembly	1987	na
S000004113	unplaced-scaffold	na	na	JAEOAB010004101.1	=	NW_024876799.1	Primary Assembly	3468	na
S000004114	unplaced-scaffold	na	na	JAEOAB010004102.1	=	NW_024876800.1	Primary Assembly	2271	na
S000004115	unplaced-scaffold	na	na	JAEOAB010004103.1	=	NW_024876801.1	Primary Assembly	1443	na
S000004116	unplaced-scaffold	na	na	JAEOAB010004104.1	=	NW_024876802.1	Primary Assembly	1726	na
S000004117	unplaced-scaffold	na	na	JAEOAB010004105.1	=	NW_024876803.1	Primary Assembly	1758	na
S000004118	unplaced-scaffold	na	na	JAEOAB010004106.1	=	NW_024876804.1	Primary Assembly	1656	na
S000004119	unplaced-scaffold	na	na	JAEOAB010004107.1	=	NW_024876805.1	Primary Assembly	1863	na
S000004120	unplaced-scaffold	na	na	JAEOAB010004108.1	=	NW_024876806.1	Primary Assembly	2094	na
S000004121	unplaced-scaffold	na	na	JAEOAB010004109.1	=	NW_024876807.1	Primary Assembly	1803	na
S000004122	unplaced-scaffold	na	na	JAEOAB010004110.1	=	NW_024876808.1	Primary Assembly	2055	na
S000004123	unplaced-scaffold	na	na	JAEOAB010004111.1	=	NW_024876809.1	Primary Assembly	1641	na
S000004124	unplaced-scaffold	na	na	JAEOAB010004112.1	=	NW_024876810.1	Primary Assembly	2027	na
S000004125	unplaced-scaffold	na	na	JAEOAB010004113.1	=	NW_024876811.1	Primary Assembly	2048	na
S000004126	unplaced-scaffold	na	na	JAEOAB010004114.1	=	NW_024876812.1	Primary Assembly	1826	na
S000004127	unplaced-scaffold	na	na	JAEOAB010004115.1	=	NW_024876813.1	Primary Assembly	2270	na
S000004128	unplaced-scaffold	na	na	JAEOAB010004116.1	=	NW_024876814.1	Primary Assembly	1861	na
S000004129	unplaced-scaffold	na	na	JAEOAB010004117.1	=	NW_024876815.1	Primary Assembly	1611	na
S000004130	unplaced-scaffold	na	na	JAEOAB010004118.1	=	NW_024876816.1	Primary Assembly	1698	na
S000004131	unplaced-scaffold	na	na	JAEOAB010004119.1	=	NW_024876817.1	Primary Assembly	1783	na
S000004132	unplaced-scaffold	na	na	JAEOAB010004120.1	=	NW_024876818.1	Primary Assembly	1792	na
S000004133	unplaced-scaffold	na	na	JAEOAB010004121.1	=	NW_024876819.1	Primary Assembly	1772	na
S000004134	unplaced-scaffold	na	na	JAEOAB010004122.1	=	NW_024876820.1	Primary Assembly	1836	na
S000004135	unplaced-scaffold	na	na	JAEOAB010004123.1	=	NW_024876821.1	Primary Assembly	1898	na
S000004136	unplaced-scaffold	na	na	JAEOAB010004124.1	=	NW_024876822.1	Primary Assembly	1751	na
S000004137	unplaced-scaffold	na	na	JAEOAB010004125.1	=	NW_024876823.1	Primary Assembly	1790	na
S000004138	unplaced-scaffold	na	na	JAEOAB010004126.1	=	NW_024876824.1	Primary Assembly	1709	na
S000004139	unplaced-scaffold	na	na	JAEOAB010004127.1	=	NW_024876825.1	Primary Assembly	1867	na
S000004140	unplaced-scaffold	na	na	JAEOAB010004128.1	=	NW_024876826.1	Primary Assembly	3149	na
S000004141	unplaced-scaffold	na	na	JAEOAB010004129.1	=	NW_024876827.1	Primary Assembly	1654	na
S000004142	unplaced-scaffold	na	na	JAEOAB010004130.1	=	NW_024876828.1	Primary Assembly	1861	na
S000004143	unplaced-scaffold	na	na	JAEOAB010004131.1	=	NW_024876829.1	Primary Assembly	1867	na
S000004144	unplaced-scaffold	na	na	JAEOAB010004132.1	=	NW_024876830.1	Primary Assembly	2174	na
S000004145	unplaced-scaffold	na	na	JAEOAB010004133.1	=	NW_024876831.1	Primary Assembly	1865	na
S000004146	unplaced-scaffold	na	na	JAEOAB010004134.1	=	NW_024876832.1	Primary Assembly	1918	na
S000004147	unplaced-scaffold	na	na	JAEOAB010004135.1	=	NW_024876833.1	Primary Assembly	1679	na
S000004148	unplaced-scaffold	na	na	JAEOAB010004136.1	=	NW_024876834.1	Primary Assembly	1736	na
S000004149	unplaced-scaffold	na	na	JAEOAB010004137.1	=	NW_024876835.1	Primary Assembly	1732	na
S000004150	unplaced-scaffold	na	na	JAEOAB010004138.1	=	NW_024876836.1	Primary Assembly	1293	na
S000004151	unplaced-scaffold	na	na	JAEOAB010004139.1	=	NW_024876837.1	Primary Assembly	1822	na
S000004152	unplaced-scaffold	na	na	JAEOAB010004140.1	=	NW_024876838.1	Primary Assembly	3724	na
S000004153	unplaced-scaffold	na	na	JAEOAB010004141.1	=	NW_024876839.1	Primary Assembly	1961	na
S000004154	unplaced-scaffold	na	na	JAEOAB010004142.1	=	NW_024876840.1	Primary Assembly	1648	na
S000004155	unplaced-scaffold	na	na	JAEOAB010004143.1	=	NW_024876841.1	Primary Assembly	1342	na
S000004156	unplaced-scaffold	na	na	JAEOAB010004144.1	=	NW_024876842.1	Primary Assembly	1991	na
S000004157	unplaced-scaffold	na	na	JAEOAB010004145.1	=	NW_024876843.1	Primary Assembly	1865	na
S000004158	unplaced-scaffold	na	na	JAEOAB010004146.1	=	NW_024876844.1	Primary Assembly	1415	na
S000004159	unplaced-scaffold	na	na	JAEOAB010004147.1	=	NW_024876845.1	Primary Assembly	2501	na
S000004160	unplaced-scaffold	na	na	JAEOAB010004148.1	=	NW_024876846.1	Primary Assembly	1642	na
S000004161	unplaced-scaffold	na	na	JAEOAB010004149.1	=	NW_024876847.1	Primary Assembly	4507	na
S000004162	unplaced-scaffold	na	na	JAEOAB010004150.1	=	NW_024876848.1	Primary Assembly	1867	na
S000004163	unplaced-scaffold	na	na	JAEOAB010004151.1	=	NW_024876849.1	Primary Assembly	4737	na
S000004164	unplaced-scaffold	na	na	JAEOAB010004152.1	=	NW_024876850.1	Primary Assembly	1759	na
S000004165	unplaced-scaffold	na	na	JAEOAB010004153.1	=	NW_024876851.1	Primary Assembly	1839	na
S000004166	unplaced-scaffold	na	na	JAEOAB010004154.1	=	NW_024876852.1	Primary Assembly	536	na
S000004167	unplaced-scaffold	na	na	JAEOAB010004155.1	=	NW_024876853.1	Primary Assembly	1900	na
S000004168	unplaced-scaffold	na	na	JAEOAB010004156.1	=	NW_024876854.1	Primary Assembly	1935	na
S000004169	unplaced-scaffold	na	na	JAEOAB010004157.1	=	NW_024876855.1	Primary Assembly	1795	na
S000004170	unplaced-scaffold	na	na	JAEOAB010004158.1	=	NW_024876856.1	Primary Assembly	1786	na
S000004171	unplaced-scaffold	na	na	JAEOAB010004159.1	=	NW_024876857.1	Primary Assembly	1770	na
S000004172	unplaced-scaffold	na	na	JAEOAB010004160.1	=	NW_024876858.1	Primary Assembly	2144	na
S000004173	unplaced-scaffold	na	na	JAEOAB010004161.1	=	NW_024876859.1	Primary Assembly	1795	na
S000004174	unplaced-scaffold	na	na	JAEOAB010004162.1	=	NW_024876860.1	Primary Assembly	1802	na
S000004175	unplaced-scaffold	na	na	JAEOAB010004163.1	=	NW_024876861.1	Primary Assembly	1966	na
S000004176	unplaced-scaffold	na	na	JAEOAB010004164.1	=	NW_024876862.1	Primary Assembly	2078	na
S000004177	unplaced-scaffold	na	na	JAEOAB010004165.1	=	NW_024876863.1	Primary Assembly	1834	na
S000004178	unplaced-scaffold	na	na	JAEOAB010004166.1	=	NW_024876864.1	Primary Assembly	1920	na
S000004179	unplaced-scaffold	na	na	JAEOAB010004167.1	=	NW_024876865.1	Primary Assembly	1712	na
S000004180	unplaced-scaffold	na	na	JAEOAB010004168.1	=	NW_024876866.1	Primary Assembly	2041	na
S000004181	unplaced-scaffold	na	na	JAEOAB010004169.1	=	NW_024876867.1	Primary Assembly	1870	na
S000004182	unplaced-scaffold	na	na	JAEOAB010004170.1	=	NW_024876868.1	Primary Assembly	1974	na
S000004183	unplaced-scaffold	na	na	JAEOAB010004171.1	=	NW_024876869.1	Primary Assembly	1910	na
S000004184	unplaced-scaffold	na	na	JAEOAB010004172.1	=	NW_024876870.1	Primary Assembly	1890	na
S000004185	unplaced-scaffold	na	na	JAEOAB010004173.1	=	NW_024876871.1	Primary Assembly	1589	na
S000004186	unplaced-scaffold	na	na	JAEOAB010004174.1	=	NW_024876872.1	Primary Assembly	1969	na
S000004187	unplaced-scaffold	na	na	JAEOAB010004175.1	=	NW_024876873.1	Primary Assembly	1960	na
S000004188	unplaced-scaffold	na	na	JAEOAB010004176.1	=	NW_024876874.1	Primary Assembly	1810	na
S000004189	unplaced-scaffold	na	na	JAEOAB010004177.1	=	NW_024876875.1	Primary Assembly	1954	na
S000004190	unplaced-scaffold	na	na	JAEOAB010004178.1	=	NW_024876876.1	Primary Assembly	2283	na
S000004191	unplaced-scaffold	na	na	JAEOAB010004179.1	=	NW_024876877.1	Primary Assembly	1440	na
S000004192	unplaced-scaffold	na	na	JAEOAB010004180.1	=	NW_024876878.1	Primary Assembly	8437	na
S000004193	unplaced-scaffold	na	na	JAEOAB010004181.1	=	NW_024876879.1	Primary Assembly	1847	na
S000004194	unplaced-scaffold	na	na	JAEOAB010004182.1	=	NW_024876880.1	Primary Assembly	1768	na
S000004195	unplaced-scaffold	na	na	JAEOAB010004183.1	=	NW_024876881.1	Primary Assembly	1821	na
S000004196	unplaced-scaffold	na	na	JAEOAB010004184.1	=	NW_024876882.1	Primary Assembly	2920	na
S000004197	unplaced-scaffold	na	na	JAEOAB010004185.1	=	NW_024876883.1	Primary Assembly	1831	na
S000004198	unplaced-scaffold	na	na	JAEOAB010004186.1	=	NW_024876884.1	Primary Assembly	1981	na
S000004199	unplaced-scaffold	na	na	JAEOAB010004187.1	=	NW_024876885.1	Primary Assembly	1526	na
S000004200	unplaced-scaffold	na	na	JAEOAB010004188.1	=	NW_024876886.1	Primary Assembly	1369	na
S000004201	unplaced-scaffold	na	na	JAEOAB010004189.1	=	NW_024876887.1	Primary Assembly	2121	na
S000004202	unplaced-scaffold	na	na	JAEOAB010004190.1	=	NW_024876888.1	Primary Assembly	1742	na
S000004203	unplaced-scaffold	na	na	JAEOAB010004191.1	=	NW_024876889.1	Primary Assembly	1810	na
S000004204	unplaced-scaffold	na	na	JAEOAB010004192.1	=	NW_024876890.1	Primary Assembly	1481	na
S000004205	unplaced-scaffold	na	na	JAEOAB010004193.1	=	NW_024876891.1	Primary Assembly	1937	na
S000004206	unplaced-scaffold	na	na	JAEOAB010004194.1	=	NW_024876892.1	Primary Assembly	1181	na
S000004207	unplaced-scaffold	na	na	JAEOAB010004195.1	=	NW_024876893.1	Primary Assembly	4654	na
S000004208	unplaced-scaffold	na	na	JAEOAB010004196.1	=	NW_024876894.1	Primary Assembly	2029	na
S000004209	unplaced-scaffold	na	na	JAEOAB010004197.1	=	NW_024876895.1	Primary Assembly	2133	na
S000004210	unplaced-scaffold	na	na	JAEOAB010004198.1	=	NW_024876896.1	Primary Assembly	1952	na
S000004211	unplaced-scaffold	na	na	JAEOAB010004199.1	=	NW_024876897.1	Primary Assembly	1685	na
S000004212	unplaced-scaffold	na	na	JAEOAB010004200.1	=	NW_024876898.1	Primary Assembly	1745	na
S000004213	unplaced-scaffold	na	na	JAEOAB010004201.1	=	NW_024876899.1	Primary Assembly	1619	na
S000004214	unplaced-scaffold	na	na	JAEOAB010004202.1	=	NW_024876900.1	Primary Assembly	1422	na
S000004215	unplaced-scaffold	na	na	JAEOAB010004203.1	=	NW_024876901.1	Primary Assembly	1160	na
S000004216	unplaced-scaffold	na	na	JAEOAB010004204.1	=	NW_024876902.1	Primary Assembly	9826	na
S000004217	unplaced-scaffold	na	na	JAEOAB010004205.1	=	NW_024876903.1	Primary Assembly	1842	na
S000004218	unplaced-scaffold	na	na	JAEOAB010004206.1	=	NW_024876904.1	Primary Assembly	1740	na
S000004219	unplaced-scaffold	na	na	JAEOAB010004207.1	=	NW_024876905.1	Primary Assembly	1849	na
S000004220	unplaced-scaffold	na	na	JAEOAB010004208.1	=	NW_024876906.1	Primary Assembly	2621	na
S000004221	unplaced-scaffold	na	na	JAEOAB010004209.1	=	NW_024876907.1	Primary Assembly	2023	na
S000004222	unplaced-scaffold	na	na	JAEOAB010004210.1	=	NW_024876908.1	Primary Assembly	1904	na
S000004223	unplaced-scaffold	na	na	JAEOAB010004211.1	=	NW_024876909.1	Primary Assembly	1664	na
S000004224	unplaced-scaffold	na	na	JAEOAB010004212.1	=	NW_024876910.1	Primary Assembly	1590	na
S000004225	unplaced-scaffold	na	na	JAEOAB010004213.1	=	NW_024876911.1	Primary Assembly	1321	na
S000004226	unplaced-scaffold	na	na	JAEOAB010004214.1	=	NW_024876912.1	Primary Assembly	1630	na
S000004227	unplaced-scaffold	na	na	JAEOAB010004215.1	=	NW_024876913.1	Primary Assembly	1846	na
S000004228	unplaced-scaffold	na	na	JAEOAB010004216.1	=	NW_024876914.1	Primary Assembly	1861	na
S000004229	unplaced-scaffold	na	na	JAEOAB010004217.1	=	NW_024876915.1	Primary Assembly	1984	na
S000004230	unplaced-scaffold	na	na	JAEOAB010004218.1	=	NW_024876916.1	Primary Assembly	1750	na
S000004231	unplaced-scaffold	na	na	JAEOAB010004219.1	=	NW_024876917.1	Primary Assembly	1992	na
S000004232	unplaced-scaffold	na	na	JAEOAB010004220.1	=	NW_024876918.1	Primary Assembly	3707	na
S000004233	unplaced-scaffold	na	na	JAEOAB010004221.1	=	NW_024876919.1	Primary Assembly	1099	na
S000004234	unplaced-scaffold	na	na	JAEOAB010004222.1	=	NW_024876920.1	Primary Assembly	1384	na
S000004235	unplaced-scaffold	na	na	JAEOAB010004223.1	=	NW_024876921.1	Primary Assembly	1711	na
S000004236	unplaced-scaffold	na	na	JAEOAB010004224.1	=	NW_024876922.1	Primary Assembly	1709	na
S000004237	unplaced-scaffold	na	na	JAEOAB010004225.1	=	NW_024876923.1	Primary Assembly	1885	na
S000004238	unplaced-scaffold	na	na	JAEOAB010004226.1	=	NW_024876924.1	Primary Assembly	1127	na
S000004239	unplaced-scaffold	na	na	JAEOAB010004227.1	=	NW_024876925.1	Primary Assembly	1137	na
S000004240	unplaced-scaffold	na	na	JAEOAB010004228.1	=	NW_024876926.1	Primary Assembly	1963	na
S000004241	unplaced-scaffold	na	na	JAEOAB010004229.1	=	NW_024876927.1	Primary Assembly	1969	na
S000004242	unplaced-scaffold	na	na	JAEOAB010004230.1	=	NW_024876928.1	Primary Assembly	1988	na
S000004243	unplaced-scaffold	na	na	JAEOAB010004231.1	=	NW_024876929.1	Primary Assembly	2267	na
S000004244	unplaced-scaffold	na	na	JAEOAB010004232.1	=	NW_024876930.1	Primary Assembly	3228	na
S000004245	unplaced-scaffold	na	na	JAEOAB010004233.1	=	NW_024876931.1	Primary Assembly	1819	na
S000004246	unplaced-scaffold	na	na	JAEOAB010004234.1	=	NW_024876932.1	Primary Assembly	1711	na
S000004247	unplaced-scaffold	na	na	JAEOAB010004235.1	=	NW_024876933.1	Primary Assembly	1839	na
S000004248	unplaced-scaffold	na	na	JAEOAB010004236.1	=	NW_024876934.1	Primary Assembly	1536	na
S000004249	unplaced-scaffold	na	na	JAEOAB010004237.1	=	NW_024876935.1	Primary Assembly	590	na
S000004250	unplaced-scaffold	na	na	JAEOAB010004238.1	=	NW_024876936.1	Primary Assembly	1930	na
S000004251	unplaced-scaffold	na	na	JAEOAB010004239.1	=	NW_024876937.1	Primary Assembly	1742	na
S000004252	unplaced-scaffold	na	na	JAEOAB010004240.1	=	NW_024876938.1	Primary Assembly	1436	na
S000004253	unplaced-scaffold	na	na	JAEOAB010004241.1	=	NW_024876939.1	Primary Assembly	1905	na
S000004254	unplaced-scaffold	na	na	JAEOAB010004242.1	=	NW_024876940.1	Primary Assembly	1872	na
S000004255	unplaced-scaffold	na	na	JAEOAB010004243.1	=	NW_024876941.1	Primary Assembly	1718	na
S000004256	unplaced-scaffold	na	na	JAEOAB010004244.1	=	NW_024876942.1	Primary Assembly	2005	na
S000004257	unplaced-scaffold	na	na	JAEOAB010004245.1	=	NW_024876943.1	Primary Assembly	1759	na
S000004258	unplaced-scaffold	na	na	JAEOAB010004246.1	=	NW_024876944.1	Primary Assembly	2467	na
S000004259	unplaced-scaffold	na	na	JAEOAB010004247.1	=	NW_024876945.1	Primary Assembly	2052	na
S000004260	unplaced-scaffold	na	na	JAEOAB010004248.1	=	NW_024876946.1	Primary Assembly	1273	na
S000004261	unplaced-scaffold	na	na	JAEOAB010004249.1	=	NW_024876947.1	Primary Assembly	1899	na
S000004262	unplaced-scaffold	na	na	JAEOAB010004250.1	=	NW_024876948.1	Primary Assembly	1563	na
S000004263	unplaced-scaffold	na	na	JAEOAB010004251.1	=	NW_024876949.1	Primary Assembly	1787	na
S000004264	unplaced-scaffold	na	na	JAEOAB010004252.1	=	NW_024876950.1	Primary Assembly	1838	na
S000004265	unplaced-scaffold	na	na	JAEOAB010004253.1	=	NW_024876951.1	Primary Assembly	1821	na
S000004266	unplaced-scaffold	na	na	JAEOAB010004254.1	=	NW_024876952.1	Primary Assembly	1833	na
S000004267	unplaced-scaffold	na	na	JAEOAB010004255.1	=	NW_024876953.1	Primary Assembly	1793	na
S000004268	unplaced-scaffold	na	na	JAEOAB010004256.1	=	NW_024876954.1	Primary Assembly	1842	na
